来源,食谱,原料,原料类别,类型,营养状态,营养状态名,当前制备方法,问题数,最高严重度,问题类型,说明,建议修法
正式食谱,（咖喱定制）创伤恢复+红胡子,小麦胚芽油,油脂类,FOOD,(无档案),,"dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,姜黄粉,调味品类,FOOD,(无档案),,"dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,食用盐,调味品类,FOOD,(无档案),,"dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,鸡蛋壳粉,乳类及制品,SUPPLEMENT,(无档案),,"dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,葡萄糖酸锌片,乳类及制品,SUPPLEMENT,(无档案),,"df60590f-a697-4897-ab08-1322e2287268, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,（咖喱定制）创伤恢复+红胡子,海藻粉,乳类及制品,SUPPLEMENT,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,16oz cod,鳕鱼颈背肉,水产类,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,16oz cod,紫薯,蔬菜类及制品,FOOD,RAW,生,去皮、煮熟后称重,1,高,A2 生档案却写熟重,营养数据是生食口径，却让按熟重称量,先定规则：改文案或改档案
正式食谱,5.25天/21份 副本,紫薯,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,5.75天/23份 猪里脊400,紫薯,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,525 的鲜食食谱 06/16,金针菇,菌藻类,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,6.75天/27份 猪里脊420,糙米,谷类及制品,FOOD,RAW,生,煮熟后称重、充分搅拌,2,高,A2 生档案却写熟重 + A4 同原料口径不一致,营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,先定规则：改文案或改档案；统一口径
正式食谱,6.75天/27份 猪里脊420,紫薯,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,6.75天/27份✅鸡猪,鸭胗,禽肉类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,6.75天/27份✅鸡猪,黑米,谷类及制品,FOOD,raw,生/干,煮熟后打碎,3,高,D1 状态枚举不规范 + B5 非标准词 + A2b 生档案却写熟制步骤,营养档案状态写成「raw」，小写/非标准值会让所有语义校验静默失效；自由文本：煮熟后打碎；档案用生数据，步骤却含焯水/蒸煮,把状态枚举归一为 RAW/COOKED 等标准值；归入受控词表或补进字典；确认是口径写错还是档案选错
正式食谱,6.75天/27份✅鸡猪,紫薯,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,6天/24份 鸡胸300+30kcal/天,鸭胗,禽肉类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,6天/24份 鸡胸300+30kcal/天,紫薯,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,derder 夏季鲜食食谱,冬瓜,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,derder 夏季鲜食食谱,小米,谷类及制品,FOOD,RAW,生,煮熟后称重、充分搅拌,2,高,A2 生档案却写熟重 + A4 同原料口径不一致,营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,先定规则：改文案或改档案；统一口径
正式食谱,derder 夏季鲜食食谱,香菜,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,derder 的鲜食食谱 07/21,冬瓜,蔬菜类及制品,FOOD,RAW,生,(空),1,高,B3 文案为空,没有任何制备/称重说明,按原料+档案状态补全标准文案
正式食谱,derder 的鲜食食谱 07/21,小米,谷类及制品,FOOD,RAW,生,煮熟后称重、充分搅拌,2,高,A2 生档案却写熟重 + A4 同原料口径不一致,营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,先定规则：改文案或改档案；统一口径
正式食谱,Dobby 的鲜食食谱 06/15,南瓜,蔬菜类及制品,FOOD,RAW,生,去瓤、去皮、煮熟后沥水、称重、打碎、充分搅拌,3,高,B5 非标准词 + A2 生档案却写熟重 + A4 同原料口径不一致,自由文本：煮熟后沥水 / 称重；营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；先定规则：改文案或改档案；统一口径
正式食谱,Foxy的鸭胸食谱,胡萝卜,蔬菜类及制品,FOOD,COOKED,熟,去皮、生重、打碎、充分搅拌,2,高,A1 熟档案却写生重 + A4 同原料口径不一致,营养数据是熟食口径，却让按生重称量；该原料在不同食谱里既写过生重又写过熟重,文案改「熟重」或「煮熟后称重」；统一口径
正式食谱,Foxy的鸭胸食谱,黑米,谷类及制品,FOOD,cooked,熟/米饭,煮熟后打碎,3,高,D1 状态枚举不规范 + B5 非标准词 + A3 熟档案未写口径,营养档案状态写成「cooked」，小写/非标准值会让所有语义校验静默失效；自由文本：煮熟后打碎；没写按生重还是熟重称量,把状态枚举归一为 RAW/COOKED 等标准值；归入受控词表或补进字典；补「熟重」
正式食谱,Foxy的鸭胸食谱,白蘑菇,菌藻类,FOOD,COOKED,熟,生重、打碎、充分搅拌,1,高,A1 熟档案却写生重,营养数据是熟食口径，却让按生重称量,文案改「熟重」或「煮熟后称重」
正式食谱,harley 的鲜食食谱 08/09,鸡胗,禽肉类及制品,FOOD,COOKED,熟,(空),2,高,B3 文案为空 + A3 熟档案未写口径,没有任何制备/称重说明；没写按生重还是熟重称量,按原料+档案状态补全标准文案；补「熟重」
正式食谱,ID的兔肉定制,南瓜,蔬菜类及制品,FOOD,RAW,生,去瓤、去皮、煮熟后沥水、称重、打碎、充分搅拌,3,高,B5 非标准词 + A2 生档案却写熟重 + A4 同原料口径不一致,自由文本：煮熟后沥水 / 称重；营养数据是生食口径，却让按熟重称量；该原料在不同食谱里既写过生重又写过熟重,归入受控词表或补进字典；先定规则：改文案或改档案；统一口径
正式食谱,Lucky 定制食谱,猪里脊,畜肉类及制品,FOOD,(无档案),,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,猪里脊,畜肉类及制品,FOOD,(无档案),,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,猪肝,畜肉类及制品,FOOD,(无档案),,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7ac2b49e-63fc-4cfa-b48d-6e0b0681958d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,猪肝,畜肉类及制品,FOOD,(无档案),,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7ac2b49e-63fc-4cfa-b48d-6e0b0681958d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,青花鱼,水产类,FOOD,(无档案),,"a8f50f30-16f8-4c18-a216-e9ed0a6d4f65, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,青花鱼,水产类,FOOD,(无档案),,"a8f50f30-16f8-4c18-a216-e9ed0a6d4f65, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,生蚝,水产类,FOOD,(无档案),,"e7f1e345-6aee-4274-9c81-b2463dae82df, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7ac2b49e-63fc-4cfa-b48d-6e0b0681958d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,生蚝,水产类,FOOD,(无档案),,"e7f1e345-6aee-4274-9c81-b2463dae82df, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7ac2b49e-63fc-4cfa-b48d-6e0b0681958d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,小米,谷类及制品,FOOD,(无档案),,"d7700de4-1e3a-4c63-a95a-f2b7f86cc4f2, 39b36568-24f1-4b20-b8ef-61ce023d568d, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,Lucky 定制食谱,小米,谷类及制品,FOOD,(无档案),,"d7700de4-1e3a-4c63-a95a-f2b7f86cc4f2, 39b36568-24f1-4b20-b8ef-61ce023d568d, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,Lucky 定制食谱,山药,薯类及制品,FOOD,(无档案),,"a8ba4629-0933-4427-a537-5febbee5ed48, 39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,Lucky 定制食谱,山药,薯类及制品,FOOD,(无档案),,"a8ba4629-0933-4427-a537-5febbee5ed48, 39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,Lucky 定制食谱,燕麦,谷类及制品,FOOD,(无档案),,"7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,燕麦,谷类及制品,FOOD,(无档案),,"7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,生菜,蔬菜类及制品,FOOD,(无档案),,"dd27baa4-36cb-4405-9092-0eb37e6160fa, 7ac2b49e-63fc-4cfa-b48d-6e0b0681958d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,生菜,蔬菜类及制品,FOOD,(无档案),,"dd27baa4-36cb-4405-9092-0eb37e6160fa, 7ac2b49e-63fc-4cfa-b48d-6e0b0681958d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,西兰花,蔬菜类及制品,FOOD,(无档案),,"5faa5c79-f01f-4f45-876c-57cceb1b9db0, 39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,Lucky 定制食谱,西兰花,蔬菜类及制品,FOOD,(无档案),,"5faa5c79-f01f-4f45-876c-57cceb1b9db0, 39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",3,高,E1 无营养档案 + B1 机器码残留 + A4 同原料口径不一致,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题；该原料在不同食谱里既写过生重又写过熟重,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）；统一口径
正式食谱,Lucky 定制食谱,小麦胚芽油,油脂类,FOOD,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,小麦胚芽油,油脂类,FOOD,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
正式食谱,Lucky 定制食谱,食用盐,调味品类,FOOD,(无档案),,af4c8a9c-98bf-4f91-ab07-4927aae2c4c2,2,高,E1 无营养档案 + B1 机器码残留,该原料没有营养档案：生熟状态为空、无法按档案核算营养；文案存的是字典 ID（接口会解析成中文，不显示乱码），但存储形式脆弱：字典缺项就会异常，且会掩盖「无营养档案」等问题,补营养档案映射；按字典还原为标准词（18/19 可确定性还原）
